IdEntidad,RazonSocial,classification
355,GARBARINO SA,R
625,CENCOSUD,T
200,BANCO COMAFI SA,B
114,COPPEL,R
2,CREDIPAZ SA,T
594,BANCO COLUMBIA SA,B
135,CREDISHOPP SA,F
567,ARGENCRED,F
470,CFN SA,F
27,CARTA SUR CARDS,T
157,FINANCOMP,F
132,CREDIBEL SA,F
741,MEGATONE(Musimundo),R
236,Ceibo Creditos S A,R
216,EMPRENDIMIENTO LA LUISINA SRL,F
254,CREDISOL,F
108,CUOTITAS SA,F
256,ARACAR FINANCIERA SA,F
201,CREDIMINUTO SA,F
205,CREDIMINUTO SA,F
261,TARJETA GRUPAR SA,T
119,LIDERAR CARD SA,T
176,CASTILLO SACIFIA,R
163,Grupo Prestafacil SA,F
366,CORDIAL COMPANIA FINANCIERA SA,T
282,BACS BANCO DE CREDITO Y SECURITIZACION SA,B
393,PRESTITO SA,F
112,Cierto Argentina SA,F
392,SERVICIOS FINANCIEROS MAXIMA SA,F
117,Credimaga SA,F
122,Credimaga SA,F
180,Cooperativa de Viv Credito y Consumo Palmares,F
139,RADIO SAPIENZA SA,R
116,Banco de Servicios y Transacciones SA,B
754,DEXTER SIISA,R
44,Sistemas Unificados de Credito Dirigido S.A.,R
3,CREDI FACIL,F
18,TARSHOP,T
748,ONIX,F
504,MUSIMUNDO(Electronica Megatone S.A.),R
697,Transacciones Crediticias S.A.,R
707,TUPPERWARE BRANDS ARGENTINA S.A.,R
285,AMTAE,F
433,GAME SRL,R
548,MANDYSER S.A.,F
710,FENIXCRED S.A.,R
560,FINANCIE RAPIDO S.A.,F
253,PATAGONIA CRED S.A.,F
213,RIBEIRO S.A.C.I.F.A.E.I.,R
736,CREDITO MESOPOTAMIA,F
37,REFERENTE S.A.* Cred Gral Sarmiento*,F
29,CREDIN S.A.,R
220,TUTOCRED S.A.,R
138,CIERTO ARGENTINA.S.A.,F
