,,0
siisa_consultasAno,siisa_consultasDosAno,0.8949796508070088
siisa_maxBCRA,siisa_maxBCRA6m,0.8875140962223829
siisa_monto2s,siisa_montoMorasBCRA,0.831252422656102
siisa_consultasAno,siisa_consultasSeisMeses,0.8115901407740914
siisa_consultasSeisMeses,siisa_consultasTresMeses,0.7951817088389156
siisa_cant2s,siisa_cantMorasBCRA,0.7749853898529927
siisa_consultasMes,siisa_consultasSemana,0.767665560343864
siisa_consultasMes,siisa_consultasTresMeses,0.7466000423863601
siisa_cant5s,siisa_monto5s,0.7391929554836051
siisa_cantMorasBCRA,siisa_maxBCRA,0.7337662014869284
siisa_maxBCRA12m,veraz_peorStatus12,0.7326140407672773
siisa_consultasAno,siisa_consultasTresMeses,0.7286754646295439
veraz_peorStatus12,veraz_peorStatusActual,0.7161710410890834
siisa_consultasDosAno,siisa_consultasSeisMeses,0.7151938740665986
siisa_monto5s,veraz_cantConcursos60,0.69293518453154
siisa_maxBCRA,veraz_peorStatusActual,0.6777860318900283
siisa_consultasDia,siisa_consultasSemana,0.6731514861118219
siisa_consultasDosAno,siisa_consultasTresMeses,0.6621122580359492
siisa_maxBCRA6m,veraz_peorStatusActual,0.6554089469771818
siisa_cantMorasBCRA,siisa_maxBCRA6m,0.6398612774934626
siisa_maxBCRA12m,siisa_maxBCRA6m,0.6383646871446237
siisa_cant1s,siisa_monto1s,0.6226542851866738
siisa_consultasMes,siisa_consultasSeisMeses,0.6196955808183628
siisa_cant4s,siisa_monto4s,0.618270967854028
siisa_cant5s,siisa_maxBCRA,0.5991617580994253
siisa_maxBCRA12m,siisa_maxBCRA24m,0.5926942394917768
siisa_cant2s,siisa_monto2s,0.5925324417550123
siisa_consultasSemana,siisa_consultasTresMeses,0.5630189197013854
siisa_maxBCRA,siisa_maxBCRA12m,0.561727255295078
siisa_cantMorasBCRA,veraz_peorStatusActual,0.5591393998554339
siisa_maxBCRA6m,veraz_peorStatus12,0.5447633326654616
siisa_consultasAno,siisa_consultasMes,0.5362737397583877
siisa_cant3s,siisa_monto3s,0.5303061325953329
siisa_cant5s,siisa_maxBCRA6m,0.5290859027686554
siisa_cantMorasBCRA,siisa_montoMorasBCRA,0.5263040129228701
siisa_monto3s,siisa_montoMorasBCRA,0.5234645115670651
siisa_consultasDia,siisa_consultasMes,0.516578878297165
siisa_consultasDosAno,siisa_consultasMes,0.5038273256955124
siisa_maxBCRA,veraz_peorStatus12,0.4864216167700894
siisa_cant2s,siisa_montoMorasBCRA,0.4842549611753955
siisa_consultasSeisMeses,siisa_consultasSemana,0.48132037277929507
siisa_maxBCRA,siisa_monto5s,0.46239512738811245
siisa_cant3s,siisa_cantMorasBCRA,0.4608174302356879
siisa_maxBCRA24m,veraz_peorStatus12,0.455128088835714
siisa_cantMorasBCRA,siisa_monto2s,0.44235321948736755
siisa_maxBCRA12m,veraz_peorStatusActual,0.4270129359156475
siisa_monto1s,siisa_sesCat,0.4175987392095093
siisa_consultasAno,siisa_consultasSemana,0.41741171861885634
siisa_maxBCRA6m,siisa_monto5s,0.40831501694300326
siisa_cantMorasBCRA,siisa_maxBCRA12m,0.4029796007699983
siisa_cant3s,siisa_maxBCRA,0.39759399558293357
siisa_cantMorasBCRA,veraz_peorStatus12,0.38789570260680933
siisa_consultasDia,siisa_consultasTresMeses,0.37623160550583296
siisa_consultasDosAno,siisa_consultasSemana,0.37434693876801
siisa_maxBCRA24m,siisa_maxBCRA6m,0.37012395685552585
siisa_cant5s,siisa_maxBCRA12m,0.35065557874178316
siisa_cant4s,siisa_maxBCRA,0.3471759570704541
siisa_cant3s,siisa_maxBCRA6m,0.34470721856025627
siisa_maxBCRA,siisa_montoMorasBCRA,0.3387269063614394
siisa_maxBCRA,siisa_maxBCRA24m,0.3251017678152666
siisa_nroDoc,siisa_relDepMeses,0.3239314371699833
siisa_cant5s,siisa_cantMorasBCRA,0.32054019339463147
siisa_cant5s,veraz_peorStatusActual,0.3189250687516268
siisa_consultasDia,siisa_consultasSeisMeses,0.3185309383466749
siisa_cant2s,siisa_maxBCRA,0.3152039614914481
siisa_cant4s,veraz_peorStatusActual,0.3061728144512519
siisa_cant2s,veraz_peorStatusActual,0.30550080279546826
siisa_cant4s,siisa_maxBCRA6m,0.3046803267475906
siisa_monto1s,siisa_relDepMeses,0.29890457139290244
siisa_maxBCRA6m,siisa_montoMorasBCRA,0.290833313509831
siisa_cant5s,veraz_cantConcursos60,0.28570402198031414
siisa_maxBCRA24m,veraz_peorStatusActual,0.2834554044842661
siisa_relDepMeses,siisa_sesCat,0.27668748886050976
siisa_cant1s,siisa_relDepMeses,0.2725270615153898
siisa_cant2s,siisa_maxBCRA6m,0.27231673203680795
siisa_cant3s,siisa_montoMorasBCRA,0.2720515911668961
siisa_maxBCRA12m,siisa_monto5s,0.2706137846914308
siisa_cant3s,veraz_peorStatusActual,0.2703263775512456
siisa_cant4s,siisa_cantMorasBCRA,0.26876968147748476
siisa_montoMorasBCRA,veraz_peorStatusActual,0.2634351318215534
siisa_maxBCRA24m,siisa_relDepMeses,0.2578787157299554
siisa_consultasAno,siisa_consultasDia,0.25359997295583275
siisa_monto5s,veraz_peorStatusActual,0.23878575185916429
siisa_maxBCRA,siisa_monto4s,0.23658765613561394
siisa_cant4s,veraz_peorStatus12,0.232268163974004
siisa_cantMorasBCRA,siisa_monto5s,0.22796852946745205
siisa_cantMorasBCRA,siisa_maxBCRA24m,0.2249409777982589
siisa_cant1s,siisa_consultasDosAno,0.2202932434309697
siisa_cant5s,veraz_peorStatus12,0.21823744431804248
siisa_monto4s,veraz_peorStatusActual,0.21808281659829556
siisa_cantMorasBCRA,siisa_monto3s,0.21717083808615512
siisa_cant5s,siisa_maxBCRA24m,0.21671873542763026
siisa_cant3s,siisa_maxBCRA12m,0.21662542975235805
siisa_maxBCRA,siisa_monto3s,0.21661679649051452
siisa_maxBCRA,siisa_relDepMeses,0.2123690248934033
siisa_maxBCRA6m,siisa_sesCat,0.21157733888186833
siisa_maxBCRA6m,siisa_monto4s,0.20762844577171063
siisa_cant1s,siisa_sesCat,0.20162988237909182
siisa_cant4s,siisa_maxBCRA12m,0.20076088915749246
siisa_cant2s,veraz_peorStatus12,0.20063232450963445
siisa_cant3s,veraz_peorStatus12,0.19686237122201278
siisa_monto2s,veraz_peorStatusActual,0.19327749698946908
siisa_consultasDia,siisa_consultasDosAno,0.19223558404395424
siisa_maxBCRA,siisa_sesCat,0.19080959435425313
siisa_maxBCRA12m,siisa_relDepMeses,0.18942492648592224
siisa_maxBCRA,siisa_monto2s,0.18781589248440084
siisa_maxBCRA6m,siisa_monto3s,0.1877796965813218
siisa_maxBCRA,veraz_cantConcursos60,0.1870723177217367
siisa_maxBCRA6m,siisa_relDepMeses,0.18607365938370704
siisa_maxBCRA12m,siisa_sesCat,0.18262466520684964
siisa_monto1s,siisa_nroDoc,0.1764340814626894
siisa_maxBCRA24m,siisa_nroDoc,0.17173878621187588
siisa_cant1s,siisa_nroDoc,0.16962180851757155
siisa_maxBCRA24m,siisa_monto5s,0.16724980511660162
siisa_cant1s,siisa_consultasAno,0.1657980634137577
siisa_montoMorasBCRA,veraz_peorStatus12,0.16527427837126707
siisa_maxBCRA6m,veraz_cantConcursos60,0.16519299632671716
siisa_maxBCRA12m,siisa_montoMorasBCRA,0.16319603474245906
siisa_monto5s,veraz_peorStatus12,0.16260828353994658
siisa_cant2s,siisa_maxBCRA12m,0.16062627247781705
siisa_monto4s,veraz_peorStatus12,0.15902964427699065
siisa_maxBCRA6m,siisa_monto2s,0.15845556350987475
siisa_cantMorasBCRA,siisa_monto4s,0.15748588465498797
siisa_montoMorasBCRA,siisa_sesCat,0.15710651726257951
veraz_cantConcursos60,veraz_peorStatusActual,0.15095980221226268
siisa_cantCheques,veraz_observaciones24m,0.14771385953097338
siisa_relDepMeses,veraz_peorStatus12,0.14689109213635557
siisa_maxBCRA12m,siisa_nroDoc,0.14668072362601767
siisa_nroDoc,siisa_relDepCuit,0.14558564384777972
siisa_maxBCRA,siisa_nroDoc,0.1449117941256337
siisa_maxBCRA24m,siisa_sesCat,0.14444180513167984
siisa_cant4s,veraz_cantMoraAbierta24,0.14001520954911922
siisa_monto5s,veraz_cantMoraAbierta24,0.1356679312397989
siisa_cantMorasBCRA,siisa_sesCat,0.13561293451761358
siisa_cant1s,siisa_maxBCRA,0.13438130428596368
siisa_maxBCRA12m,siisa_monto4s,0.133229322053256
siisa_cant1s,siisa_maxBCRA6m,0.1303725724385675
siisa_cant5s,veraz_cantMoraAbierta24,0.12885945498531687
siisa_maxBCRA6m,siisa_nroDoc,0.12701183887692452
siisa_monto5s,siisa_sesCat,0.12648253574829552
veraz_observaciones24m,veraz_peorStatusActual,0.12632509838462302
siisa_cant4s,siisa_maxBCRA24m,0.12551167247977163
siisa_cantMoras,siisa_relDepCuit,0.12228386778204006
siisa_maxBCRA24m,veraz_cantMoraAbierta24,0.12196065728154823
siisa_cant3s,siisa_relDepMeses,0.12188577348991658
siisa_cant1s,veraz_peorStatusActual,0.1208573012520863
siisa_cantMorasBCRA,siisa_relDepMeses,0.12014273248406235
siisa_cant3s,siisa_maxBCRA24m,0.11907279098224512
siisa_monto2s,siisa_sesModelo,0.11712115919806411
siisa_monto3s,siisa_sesCat,0.11655245206449866
veraz_cantMoraAbierta24,veraz_peorStatusActual,0.11519883965099902
siisa_sesCat,veraz_peorStatusActual,0.1140456001245047
siisa_maxBCRA12m,siisa_monto3s,0.1138001622492949
siisa_cant1s,siisa_cant5s,0.11031376342426226
siisa_relDepMeses,veraz_peorStatusActual,0.11018395390233593
siisa_maxBCRA12m,veraz_cantConcursos60,0.10948287495076832
siisa_maxBCRA,veraz_cantMoraAbierta24,0.10934229695402853
siisa_monto4s,siisa_montoMorasBCRA,0.10889429079061382
veraz_cantConcursos60,veraz_peorStatus12,0.10883450482604125
siisa_sesCat,veraz_cantConcursos60,0.10822246049275029
siisa_cant2s,siisa_sesModelo,0.1074479721295135
siisa_maxBCRA6m,veraz_cantMoraAbierta24,0.1062735345846556
siisa_monto2s,veraz_peorStatus12,0.10553959373796176
siisa_cantMoras,veraz_observaciones24m,0.10495158497855989
siisa_relDepMeses,veraz_observaciones24m,0.10420066935880284
siisa_monto3s,veraz_peorStatusActual,0.10375169518289212
siisa_monto2s,siisa_sesCat,0.10234556712797815
siisa_maxBCRA,veraz_observaciones24m,0.1010246189048295
siisa_monto1s,siisa_relDepCuit,0.1009537821504647
siisa_consultasDosAno,siisa_monto1s,0.09996950365705806
siisa_sesCat,veraz_peorStatus12,0.09871070440013807
siisa_maxBCRA6m,siisa_monto1s,0.09849306054123791
siisa_maxBCRA12m,veraz_cantMoraAbierta24,0.09805586703501505
siisa_cant3s,siisa_sesCat,0.09663520261483947
siisa_maxBCRA,siisa_monto1s,0.09652310230585642
veraz_cantConcursos60,veraz_cantMoraAbierta24,0.096474789891711
siisa_maxBCRA6m,veraz_observaciones24m,0.09633543870764599
siisa_consultasAno,siisa_monto1s,0.09547290933751142
siisa_cantMorasBCRA,veraz_observaciones24m,0.09515945441287876
siisa_consultasDia,siisa_sesModelo,0.0937496029626007
siisa_cant4s,siisa_cantMoras,0.09271680816395599
siisa_montoMorasBCRA,siisa_sesModelo,0.09255342059280516
siisa_nroDoc,veraz_peorStatus12,0.09248854392902912
siisa_montoMorasBCRA,siisa_relDepMeses,0.09236144365297945
siisa_cant1s,siisa_relDepCuit,0.09154952898401464
siisa_cant5s,siisa_monto1s,0.09091806302430051
veraz_cantMoraAbierta24,veraz_peorStatus12,0.08984750842447574
siisa_relDepCuit,veraz_observaciones24m,0.08939834378485993
siisa_cantMoras,siisa_consultasTresMeses,0.0892352751162628
siisa_cantMoras,siisa_monto4s,0.08779270652245551
siisa_consultasSemana,siisa_monto4s,0.08765989605537178
veraz_observaciones24m,veraz_peorStatus12,0.08701774241975817
siisa_cantMorasBCRA,veraz_cantConcursos60,0.08608744371166366
siisa_cantMoras,siisa_consultasDosAno,0.08602707084454037
siisa_cant1s,siisa_cantMorasBCRA,0.08566755702743263
siisa_cant1s,siisa_cantMoras,0.0855907792465634
siisa_nroDoc,siisa_sesCat,0.0851953322861153
siisa_cant2s,siisa_cantCheques,0.08434483111390012
siisa_cantMoras,siisa_consultasDia,0.08414580903016403
siisa_cant1s,siisa_monto5s,0.08377001781530587
siisa_monto3s,veraz_peorStatus12,0.0828799440278262
siisa_cantMorasBCRA,siisa_consultasSeisMeses,0.08267318768147845
siisa_cantCheques,siisa_monto1s,0.08088199958449731
siisa_consultasSeisMeses,siisa_montoMorasBCRA,0.08077548650860987
siisa_consultasAno,siisa_montoMorasBCRA,0.08070358962109797
siisa_nroDoc,veraz_peorStatusActual,0.07971784563594891
siisa_maxBCRA24m,siisa_relDepTel,0.07945696997631313
siisa_consultasSeisMeses,siisa_monto3s,0.07913320378515877
siisa_monto1s,veraz_peorStatusActual,0.07910432164875658
siisa_cant2s,siisa_sesCat,0.0789969940470277
siisa_cantMorasBCRA,siisa_consultasAno,0.07790954010568628
siisa_maxBCRA12m,siisa_monto2s,0.07739915498917321
siisa_cant5s,siisa_sesCat,0.0765856936494863
siisa_cant2s,siisa_maxBCRA24m,0.07628300324698517
siisa_maxBCRA24m,siisa_monto4s,0.07607731547287229
siisa_consultasSemana,siisa_sesModelo,0.07590100475387386
siisa_consultasMes,siisa_sesModelo,0.07542842854336804
siisa_consultasSeisMeses,siisa_nroDoc,0.07483013685638042
siisa_cant3s,siisa_consultasSeisMeses,0.07409255809314681
siisa_monto3s,siisa_relDepMeses,0.07335616983174185
siisa_monto5s,siisa_relDepTel,0.07261812517707146
siisa_cantMoras,siisa_monto1s,0.07185699252460225
siisa_cantMoras,siisa_consultasAno,0.07180538982083204
siisa_monto1s,siisa_monto5s,0.07136422645885696
siisa_consultasDosAno,siisa_monto5s,0.0710210818957232
siisa_maxBCRA24m,siisa_montoMorasBCRA,0.07088299015097639
siisa_cant5s,siisa_consultasAno,0.07009005897548086
siisa_consultasSemana,siisa_relDepTel,0.06987768600891342
siisa_consultasMes,siisa_relDepTel,0.06983688201395567
siisa_maxBCRA,siisa_relDepCuit,0.06978565098219817
siisa_cantMorasBCRA,siisa_sesModelo,0.06975832408079205
siisa_consultasDosAno,veraz_peorStatusActual,0.06966035509669195
siisa_consultasSeisMeses,siisa_relDepMeses,0.0695951597767445
siisa_cantMorasBCRA,siisa_nroDoc,0.0695891862286337
siisa_maxBCRA6m,siisa_relDepTel,0.0693791375220347
siisa_consultasAno,siisa_monto5s,0.06922133513494631
siisa_cant5s,veraz_observaciones24m,0.06878515791439274
veraz_cantJuicios12,veraz_cantMoraAbierta24,0.06818600346498667
siisa_relDepCuit,veraz_peorStatusActual,0.06806305033481497
siisa_cant1s,siisa_montoMorasBCRA,0.06772349289890045
siisa_maxBCRA24m,veraz_cantConcursos60,0.067664659137746
siisa_consultasMes,siisa_monto4s,0.06749979319461565
siisa_relDepTel,veraz_cantConcursos60,0.06710529103264064
siisa_cant2s,siisa_relDepMeses,0.06625042965011807
siisa_maxBCRA6m,siisa_relDepCuit,0.06621093204711777
siisa_sesCat,siisa_sesModelo,0.06560191925539084
siisa_consultasMes,siisa_nroDoc,0.06379901615222444
siisa_maxBCRA24m,veraz_observaciones24m,0.06373809797931146
siisa_cantCheques,siisa_sesCat,0.06363651038480202
siisa_cant2s,siisa_consultasSeisMeses,0.06353029919241783
siisa_cant4s,siisa_montoMorasBCRA,0.06167521192924857
siisa_consultasDia,veraz_cantMoraAbierta24,0.061550907611757175
siisa_cantCheques,siisa_cantMorasBCRA,0.060844483225142916
siisa_cant2s,siisa_consultasTresMeses,0.06068357037057277
siisa_cantMorasBCRA,veraz_cantMoraAbierta24,0.060602300375600354
siisa_consultasAno,siisa_monto2s,0.060598090780933055
siisa_cant1s,veraz_cantMoraAbierta24,0.06026262234815828
siisa_cant5s,siisa_consultasDosAno,0.05978029811514065
siisa_consultasSemana,siisa_maxBCRA6m,0.0597070553974551
siisa_monto2s,siisa_relDepCuit,0.05963383912436117
siisa_consultasMes,siisa_maxBCRA6m,0.05828828116324483
siisa_consultasSemana,siisa_sesCat,0.05771332667670189
siisa_consultasDosAno,siisa_maxBCRA24m,0.057156011412346976
siisa_cant4s,veraz_observaciones24m,0.05691490529759046
siisa_consultasAno,siisa_nroDoc,0.056764237512702646
siisa_cant4s,siisa_consultasMes,0.05659668012439884
siisa_monto2s,siisa_relDepMeses,0.05657950812985769
siisa_consultasMes,siisa_sesCat,0.0562365605750666
siisa_cantMoras,siisa_consultasSeisMeses,0.05620740027548805
siisa_consultasSeisMeses,siisa_maxBCRA24m,0.05593946228842204
siisa_cantMoras,siisa_maxBCRA,0.05564238388766693
siisa_nroDoc,veraz_cantMoraAbierta24,0.055633531731712815
siisa_consultasMes,siisa_relDepMeses,0.05527929882171065
siisa_cantCheques,siisa_relDepTel,0.05470806509336001
siisa_cantMoras,veraz_peorStatusActual,0.05457020228872726
siisa_maxBCRA24m,siisa_monto3s,0.0545082197905204
siisa_consultasDosAno,siisa_montoMorasBCRA,0.054442363657637584
siisa_consultasSeisMeses,siisa_maxBCRA,0.05347312372293999
siisa_cantMoras,siisa_consultasSemana,0.05307570271568849
siisa_relDepMeses,veraz_cantConcursos60,0.05296653455418476
siisa_monto5s,siisa_montoMorasBCRA,0.05287019786504595
siisa_cant1s,veraz_peorStatus12,0.05276673531397391
siisa_cant1s,siisa_maxBCRA24m,0.05267136477980336
siisa_consultasAno,siisa_maxBCRA24m,0.05263375548296898
siisa_cantMoras,siisa_nroDoc,0.05258354952115866
siisa_monto5s,siisa_nroDoc,0.05247142004608912
siisa_consultasSeisMeses,siisa_maxBCRA12m,0.05237899562318032
siisa_cant4s,siisa_consultasTresMeses,0.052136263274038995
siisa_cantMoras,siisa_consultasMes,0.05209264020548825
siisa_sesCat,veraz_cantJuicios12,0.05203560342357863
siisa_maxBCRA12m,veraz_observaciones24m,0.05175287565856408
siisa_consultasDia,siisa_nroDoc,0.05134589376073025
siisa_relDepCuit,veraz_peorStatus12,0.05134322652373265
siisa_consultasAno,siisa_maxBCRA12m,0.051188735514183334
siisa_relDepTel,siisa_sesModelo,0.05063312254865156
siisa_cant1s,siisa_cant2s,0.049780403696004075
siisa_cantMoras,veraz_peorStatus12,0.04959821849209412
siisa_sesCat,veraz_observaciones24m,0.049366080565232215
siisa_consultasSemana,siisa_relDepCuit,0.04925980323050688
siisa_monto5s,siisa_relDepMeses,0.049247977203215845
siisa_monto4s,veraz_cantMoraAbierta24,0.0491202243207749
siisa_maxBCRA,siisa_relDepTel,0.048876280295790324
siisa_consultasMes,veraz_peorStatusActual,0.048811225282553654
siisa_consultasDia,siisa_monto2s,0.048699808284028555
siisa_sesModelo,veraz_peorStatusActual,0.0486808439519255
