,,0
siisa_cant6s,siisa_monto6s,1.000000000000057
nosisMesesAntiguedad,siisa_cuitsCheques,1.0
nosis_rechazadosCant12,nosis_sinFondoCant12,1.0
nosis_rechazadosCant6,nosis_sinFondoCant6,1.0
nosis_rechazadosCant24,nosis_sinFondoCant24,0.999575713124614
nosis_relDepAnt,nosisMesesAntiguedad,0.9978700449925656
siisa_monto5s,siisa_montoMorasBCRA,0.9970171773307392
nosis_aportesEmpleadorMaxPeriodo,veraz_observaciones24m,0.9962038827485432
nosis_aportesEmpleadorMaxPeriodo,veraz_observacionesMontoCerrada24m,0.9962038827485431
nosis_aportesEmpleadorMaxPeriodo,veraz_consumoPreVencidos,0.996203882748543
nosis_relDepCuit,nosisMesesAntiguedad,0.9853451024883163
nosis_abonadosCant24,nosis_sinFondoCant24,0.9785053898589927
nosis_abonadosCant24,nosis_rechazadosCant24,0.9740095623960587
nosis_aportesEmpleadorMaxPeriodo,nosis_cuit,0.961412613920879
siisa_cuitsCheques,veraz_consumoPreMora,0.9556174365187675
nosis_chequesPositivos12,nosis_chequesPositivosMonto12,0.9310959441345615
nosis_24mBCRAcant1,nosis_6mBCRAcant1,0.9135211419971917
nosis_BCRAmonto1,nosis_seguimientosTmp,0.9032392724363418
nosis_aportesEmpleadorMaxPeriodo,nosis_juiciosCant,0.8961243575537183
siisa_maxBCRA,siisa_maxBCRA6m,0.8708833580310682
nosis_abonadosCant12,nosis_rechazadosCant12,0.868961266219258
nosis_abonadosCant12,nosis_sinFondoCant12,0.868961266219258
nosis_abonadosCant6,nosis_sinFondoCant6,0.867855873800236
nosis_abonadosCant6,nosis_rechazadosCant6,0.867855873800236
nosis_BCRAmonto2,nosis_BCRAmontoMora,0.8667230423799828
nosis_24mBCRAmonto1,nosis_6mBCRAmonto1,0.85804392009836
nosis_BCRAmonto4,siisa_monto4s,0.8508522535099095
nosis_abonadosCant12,nosis_chequesPositivos12,0.8488373159848049
nosis_BCRAmonto5,siisa_monto5s,0.8447259851533283
nosis_BCRAcant4,siisa_cant4s,0.8443323036560422
nosis_chequesPositivos12,nosis_rechazadosCant12,0.8248786582683223
nosis_chequesPositivos12,nosis_sinFondoCant12,0.8248786582683223
nosis_aportesEmpleadorMaxPeriodo,nosis_BCRAmonto1,0.8116590313819201
siisa_maxBCRA12m,siisa_maxBCRA6m,0.8092300401092256
nosis_aportesEmpleadorMaxPeriodo,nosis_seguimientosTmp,0.8076669018893373
nosis_BCRAcant5,siisa_cant5s,0.798678038395766
nosis_aportesEmpleadorCantPeriodos,nosis_aportesEmpleadorMaxPeriodo,0.7929908026510559
nosis_aportesEmpleadorMaxPeriodo,nosis_consultas,0.7911360854162234
nosis_BCRAcantMora,siisa_cantMorasBCRA,0.779832621135579
nosis_BCRAcant3,siisa_cant3s,0.7788778823442108
nosis_aportesEmpleadoCantPeriodos,nosis_relDepCuit,0.7760224327368542
nosis_6mBCRAmaxSit,veraz_peorStatusActual,0.773131992330736
nosis_aportesEmpleadorCantPeriodos,nosis_BCRAmonto1,0.7652032864623914
siisa_maxBCRA12m,siisa_maxBCRA24m,0.7558286221721046
nosis_chequesPositivosMonto12,nosis_sinFondoCant12,0.7420405613944443
nosis_chequesPositivosMonto12,nosis_rechazadosCant12,0.7420405613944443
nosis_abonadosCant12,nosis_chequesPositivosMonto12,0.7417746031707204
nosis_aportesEmpleadorCantPeriodos,nosis_seguimientosTmp,0.7283110651118777
nosis_BCRAmonto3,siisa_monto3s,0.7210040763243595
nosis_BCRAmontoMora,siisa_montoMorasBCRA,0.7174463025562858
siisa_cantMorasBCRA,siisa_maxBCRA,0.716226551190691
nosis_aportesEmpleadorMaxPeriodo,veraz_consumoPreCompromiso,0.7044667134527327
siisa_maxBCRA,siisa_maxBCRA12m,0.704290261869327
siisa_cant4s,siisa_monto4s,0.6923109831704659
nosis_BCRAcant5,nosis_BCRAmonto5,0.6858383976993794
siisa_cant4s,siisa_cantMorasBCRA,0.6843601062402491
nosis_aportesEmpleadoCantPeriodos,nosisMesesAntiguedad,0.6828939127578458
nosis_24mBCRAcantMora,nosis_24mBCRAmaxSit,0.6798431357390884
nosis_BCRAcant2,nosis_BCRAcantMora,0.6729213241127013
nosis_aportesEmpleadorMaxPeriodo,nosis_edad,0.6685513961516351
nosis_24mBCRAmaxSit,nosis_6mBCRAmaxSit,0.6682654581734138
nosis_BCRAcant4,nosis_BCRAmonto4,0.6605671654120895
nosis_6mBCRAcant1,nosis_BCRAcant1,0.6535449804755262
nosis_BCRAcant2,siisa_cant2s,0.6492838544505734
siisa_cant5s,siisa_maxBCRA,0.6489889496876285
veraz_observaciones24m,veraz_observacionesMontoCerrada24m,0.6437391181495834
nosis_BCRAmonto2,siisa_monto2s,0.6431115065695887
nosis_24mBCRAmontoMora,nosis_6mBCRAmontoMora,0.6415642045724171
nosis_BCRAcant3,nosis_BCRAmonto3,0.6403213284862622
nosis_6mBCRAcantMora,nosis_6mBCRAmontoMora,0.6367265410518963
nosis_24mBCRAcantMora,nosis_6mBCRAmaxSit,0.6359950799634856
nosis_cuit,siisa_cuil,0.6330061977938265
nosis_6mBCRAcantMora,nosis_6mBCRAmaxSit,0.6307235893678148
nosis_BCRAcant4,siisa_monto4s,0.6271791901521735
siisa_cant5s,siisa_cantMorasBCRA,0.6238134884536044
nosis_6mBCRAcant1,nosis_6mBCRAmonto1,0.6226285794213577
siisa_cantMorasBCRA,siisa_maxBCRA6m,0.6214035781525843
siisa_maxBCRA24m,siisa_maxBCRA6m,0.6120224123036858
nosis_aportesEmpleadorMaxPeriodo,veraz_consumoPreMora,0.6110577090159541
nosis_aportesEmpleadoCantPeriodos,nosis_aportesEmpleadorMaxPeriodo,0.6049883559989916
siisa_cant3s,siisa_cantMorasBCRA,0.6047540341524537
nosis_abonadosCant24,nosis_chequesPositivos24,0.6012376208530624
nosis_6mBCRAcantMora,veraz_peorStatusActual,0.6003530188265739
